point,success,success_lo,success_hi,cost_per_run,frontier_fraction
D open1-only,0.2600,0.1600,0.3800,0.000031,0.0000
R disagree>=5,0.2600,0.1600,0.3800,0.000042,0.0000
R disagree>=4,0.2600,0.1600,0.3800,0.000042,0.0000
R disagree>=3,0.2600,0.1600,0.3800,0.000042,0.0000
R disagree>=2,0.3000,0.1800,0.4400,0.000455,0.0600
R disagree>=1,0.6400,0.5000,0.7600,0.004700,0.6600
B frontier-only,0.6600,0.5400,0.7800,0.006999,1.0000
